timestamp,x,y,z
249187,0.27,2.12,9.92
249207,-0.04,2.26,9.72
249227,-0.04,2.26,9.72
249247,-0.04,2.26,9.72
249268,-0.1,2.23,9.49
249288,-0.1,2.23,9.49
249307,-0.1,2.23,9.49
249328,-0.1,2.23,9.49
249347,0.42,2.13,9.11
249367,0.42,2.13,9.11
249388,0.42,2.13,9.11
249407,0.31,2.26,9.33
249427,0.31,2.26,9.33
249448,0.31,2.26,9.33
249468,0.39,2.14,9.61
249487,0.39,2.14,9.61
249508,0.39,2.14,9.61
249527,0.54,2.17,9.76
249547,0.54,2.17,9.76
249567,0.54,2.17,9.76
249587,0.54,2.17,9.76
249607,0.63,2.24,9.82
249628,0.63,2.24,9.82
249647,0.63,2.24,9.82
249667,0.73,2.33,9.7
249687,0.73,2.33,9.7
249707,0.73,2.33,9.7
249727,0.63,1.85,9.56
249747,0.63,1.85,9.56
249767,0.63,1.85,9.56
249787,0.63,1.85,9.56
249808,0.4,1.94,9.91
249827,0.4,1.94,9.91
249848,0.4,1.94,9.91
249867,0.36,1.85,9.64
249887,0.36,1.85,9.64
249908,0.36,1.85,9.64
249927,0.51,2.16,9.68
249947,0.51,2.16,9.68
249967,0.51,2.16,9.68
249988,0.51,2.16,9.68
250008,1.02,1.57,10.18
250028,1.02,1.57,10.18
250048,1.02,1.57,10.18
250068,0.93,1.88,9.92
250088,0.93,1.88,9.92
250108,0.93,1.88,9.92
250128,0.4,1.76,9.27
250148,0.4,1.76,9.27
250168,0.4,1.76,9.27
250187,0.43,1.76,9.23
250207,0.43,1.76,9.23
250227,0.43,1.76,9.23
250247,0.43,1.76,9.23
250267,0.38,1.66,9.91
250287,0.38,1.66,9.91
250307,0.38,1.66,9.91
250327,0.44,1.67,9.64
250348,0.44,1.67,9.64
250367,0.44,1.67,9.64
250387,0.46,1.66,9.66
250407,0.46,1.66,9.66
250427,0.46,1.66,9.66
250447,0.46,1.66,9.66
250468,0.4,1.86,9.03
250488,0.4,1.86,9.03
250507,0.4,1.86,9.03
250527,0.48,1.82,9.21
250547,0.48,1.82,9.21
250567,0.48,1.82,9.21
