timestamp,GYRO_X,GYRO_Y,GYRO_Z
1427962980298,0.0000000,0.0000000,0.0000000
1427962980693,0.0000000,0.0000000,0.0000000
1427962981090,0.0000000,0.0000000,0.0000000
1427962981490,0.0000000,0.0000000,0.0000000
1427962981889,0.0000000,0.0000000,0.0000000
1427962982288,0.0000000,0.0000000,0.0000000
1427962982692,0.0000000,0.0000000,0.0000000
1427962983091,0.0000000,0.0000000,0.0000000
1427962983488,0.0000000,0.0000000,0.0000000
1427962983890,0.0000000,0.0000000,0.0000000
1427962984290,0.0000000,0.0000000,0.0000000
1427962984689,0.0000000,0.0000000,0.0000000
1427962985105,0.0000000,0.0000000,0.0000000
1427962985489,0.0000000,0.0000000,0.0000000
1427962985890,0.0000000,0.0000000,0.0000000
1427962986290,0.0000000,0.0000000,0.0000000
1427962986689,0.0000000,0.0000000,0.0000000
1427962987089,0.0000000,0.0000000,0.0000000
1427962987488,0.0000000,0.0000000,0.0000000
1427962987891,0.0000000,0.0000000,0.0000000
1427962988290,0.0000000,0.0000000,0.0000000
1427962988690,0.0000000,0.0000000,0.0000000
1427962989090,0.0000000,0.0000000,0.0000000
1427962989489,0.0000000,0.0000000,0.0000000
1427962989889,0.0000000,0.0000000,0.0000000
1427962990290,0.0000000,0.0000000,0.0000000
1427962990688,0.0000000,0.0000000,0.0000000
1427962991091,0.0000000,0.0000000,0.0000000
1427962991489,0.0000000,0.0000000,0.0000000
1427962991889,0.0000000,0.0000000,0.0000000
1427962992292,0.0000000,0.0000000,0.0000000
1427962992689,0.0000000,0.0000000,0.0000000
1427962993089,0.0000000,0.0000000,0.0000000
1427962993490,0.0000000,0.0000000,0.0000000
1427962993889,0.0000000,0.0000000,0.0000000
1427962994291,0.0000000,0.0000000,0.0000000
1427962994690,0.0000000,0.0000000,0.0000000
1427962995089,0.0000000,0.0000000,0.0000000
1427962995490,0.0000000,0.0000000,0.0000000
1427962995889,0.0000000,0.0000000,0.0000000
1427962996290,0.0000000,0.0000000,0.0000000
1427962996689,0.0000000,0.0000000,0.0000000
1427962997112,0.0000000,0.0000000,0.0000000
1427962997491,0.0000000,0.0000000,0.0000000
1427962997888,0.0000000,0.0000000,0.0000000
1427962998290,0.0000000,0.0000000,0.0000000
1427962998699,0.0000000,0.0000000,0.0000000
1427962999091,0.0000000,0.0000000,0.0000000
1427962999490,0.0000000,0.0000000,0.0000000
1427962999891,0.0000000,0.0000000,0.0000000
1427963000339,0.0000000,0.0000000,0.0000000
1427963000690,0.0000000,0.0000000,0.0000000
1427963001091,0.0000000,0.0000000,0.0000000
1427963001488,0.0000000,0.0000000,0.0000000
1427963001889,0.0000000,0.0000000,0.0000000
1427963002291,0.0000000,0.0000000,0.0000000
1427963002690,0.0000000,0.0000000,0.0000000
1427963003091,0.0000000,0.0000000,0.0000000
1427963003489,0.0000000,0.0000000,0.0000000
1427963003890,0.0000000,0.0000000,0.0000000
1427963004291,0.0000000,0.0000000,0.0000000
1427963004688,0.0000000,0.0000000,0.0000000
1427963005089,0.0000000,0.0000000,0.0000000
1427963005489,0.0000000,0.0000000,0.0000000
1427963005889,0.0000000,0.0000000,0.0000000
1427963006291,0.0000000,0.0000000,0.0000000
1427963006692,0.0000000,0.0000000,0.0000000
1427963007089,0.0000000,0.0000000,0.0000000
1427963007489,0.0000000,0.0000000,0.0000000
1427963007895,0.0000000,0.0000000,0.0000000
1427963008290,0.0000000,0.0000000,0.0000000
1427963008691,0.0000000,0.0000000,0.0000000
1427963009090,0.0000000,0.0000000,0.0000000
1427963009490,0.0000000,0.0000000,0.0000000
1427963009890,0.0000000,0.0000000,0.0000000
1427963010289,0.0000000,0.0000000,0.0000000
1427963010690,0.0000000,0.0000000,0.0000000
1427963011090,0.0000000,0.0000000,0.0000000
1427963011489,0.0000000,0.0000000,0.0000000
1427963011890,0.0000000,0.0000000,0.0000000
1427963012290,0.0000000,0.0000000,0.0000000
1427963012694,0.0000000,0.0000000,0.0000000
1427963013091,0.0000000,0.0000000,0.0000000
1427963013489,0.0000000,0.0000000,0.0000000
1427963013889,0.0000000,0.0000000,0.0000000
1427963014291,0.0000000,0.0000000,0.0000000
1427963014689,0.0000000,0.0000000,0.0000000
1427963015089,0.0000000,0.0000000,0.0000000
1427963015489,0.0000000,0.0000000,0.0000000
1427963015890,0.0000000,0.0000000,0.0000000
1427963016291,0.0000000,0.0000000,0.0000000
1427963016690,0.0000000,0.0000000,0.0000000
1427963017089,0.0000000,0.0000000,0.0000000
1427963017490,0.0000000,0.0000000,0.0000000
1427963017890,0.0000000,0.0000000,0.0000000
1427963018290,0.0000000,0.0000000,0.0000000
1427963018694,0.0000000,0.0000000,0.0000000
1427963019092,0.0000000,0.0000000,0.0000000
1427963019489,0.0000000,0.0000000,0.0000000
1427963019889,0.0000000,0.0000000,0.0000000
1427963020290,0.0000000,0.0000000,0.0000000
1427963020689,0.0000000,0.0000000,0.0000000
1427963021088,0.0000000,0.0000000,0.0000000
1427963021489,0.0000000,0.0000000,0.0000000
1427963021956,0.0000000,0.0000000,0.0000000
1427963022292,0.0000000,0.0000000,0.0000000
1427963022691,0.0000000,0.0000000,0.0000000
1427963023089,0.0000000,0.0000000,0.0000000
1427963023491,0.0000000,0.0000000,0.0000000
1427963023890,0.0000000,0.0000000,0.0000000
1427963024295,0.0000000,0.0000000,0.0000000
1427963024690,0.0000000,0.0000000,0.0000000
1427963025100,0.0000000,0.0000000,0.0000000
1427963025490,0.0000000,0.0000000,0.0000000
1427963025890,0.0000000,0.0000000,0.0000000
1427963026289,0.0000000,0.0000000,0.0000000
1427963026690,0.0000000,0.0000000,0.0000000
1427963027089,0.0000000,0.0000000,0.0000000
1427963027489,0.0000000,0.0000000,0.0000000
1427963027889,0.0000000,0.0000000,0.0000000
1427963028292,0.0000000,0.0000000,0.0000000
1427963028690,0.0000000,0.0000000,0.0000000
1427963029090,0.0000000,0.0000000,0.0000000
1427963029500,0.0000000,0.0000000,0.0000000
1427963029890,0.0000000,0.0000000,0.0000000
1427963030291,0.0000000,0.0000000,0.0000000
1427963030689,0.0000000,0.0000000,0.0000000
1427963031089,0.0000000,0.0000000,0.0000000
1427963031489,0.0000000,0.0000000,0.0000000
1427963031890,0.0000000,0.0000000,0.0000000
1427963032291,0.0000000,0.0000000,0.0000000
1427963032690,0.0000000,0.0000000,0.0000000
1427963033091,0.0000000,0.0000000,0.0000000
1427963033489,0.0000000,0.0000000,0.0000000
1427963033891,0.0000000,0.0000000,0.0000000
1427963034290,0.0000000,0.0000000,0.0000000
1427963034690,0.0000000,0.0000000,0.0000000
1427963035090,0.0000000,0.0000000,0.0000000
1427963035490,0.0000000,0.0000000,0.0000000
1427963035938,0.0000000,0.0000000,0.0000000
1427963036289,0.0000000,0.0000000,0.0000000
1427963036689,0.0000000,0.0000000,0.0000000
1427963037088,0.0000000,0.0000000,0.0000000
1427963037490,0.0000000,0.0000000,0.0000000
1427963037889,0.0000000,0.0000000,0.0000000
1427963038289,0.0000000,0.0000000,0.0000000
1427963038689,0.0000000,0.0000000,0.0000000
1427963039089,0.0000000,0.0000000,0.0000000
1427963039489,0.0000000,0.0000000,0.0000000
1427963039888,0.0000000,0.0000000,0.0000000
1427963040298,0.0000000,0.0000000,0.0000000
1427963040689,0.0000000,0.0000000,0.0000000
1427963041088,0.0000000,0.0000000,0.0000000
1427963041491,0.0000000,0.0000000,0.0000000
1427963041889,0.0000000,0.0000000,0.0000000
1427963042290,0.0000000,0.0000000,0.0000000
1427963042695,0.0000000,0.0000000,0.0000000
1427963043088,0.0000000,0.0000000,0.0000000
1427963043489,0.0000000,0.0000000,0.0000000
1427963043890,0.0000000,0.0000000,0.0000000
1427963044292,0.0000000,0.0000000,0.0000000
1427963044691,0.0000000,0.0000000,0.0000000
1427963045089,0.0000000,0.0000000,0.0000000
1427963045491,0.0000000,0.0000000,0.0000000
1427963045891,0.0018000,0.0018000,0.0018000
1427963046290,0.0018000,0.0018000,0.0018000
1427963046728,0.0018000,0.0018000,0.0018000
1427963047089,0.0022122,0.0022122,0.0022122
1427963047489,0.0022122,0.0022122,0.0022122
1427963047888,0.0017919,0.0017919,0.0017919
1427963048289,0.0017919,0.0017919,0.0017919
1427963048691,0.0017900,0.0017900,0.0017900
1427963049091,0.0013063,0.0013063,0.0013063
1427963049490,0.0013063,0.0013063,0.0013063
1427963049890,0.0010581,0.0010581,0.0010581
1427963050290,0.0010581,0.0010581,0.0010581
1427963050689,0.0008570,0.0008570,0.0008570
1427963051121,0.0008570,0.0008570,0.0008570
1427963051489,0.0006940,0.0006940,0.0006940
1427963051890,0.0006940,0.0006940,0.0006940
1427963052290,0.0005620,0.0005620,0.0005620
1427963052689,0.0005620,0.0005620,0.0005620
1427963053091,0.0005620,0.0005620,0.0005620
1427963053489,0.0004100,0.0004100,0.0004100
1427963053889,0.0004100,0.0004100,0.0004100
1427963054339,0.0004100,0.0004100,0.0004100
1427963054689,0.0002990,0.0002990,0.0002990
1427963055090,0.0002990,0.0002990,0.0002990
1427963055488,0.0002420,0.0002420,0.0002420
1427963055889,0.0002420,0.0002420,0.0002420
1427963056289,0.0001960,0.0001960,0.0001960
1427963056689,0.0001960,0.0001960,0.0001960
1427963057090,0.0001960,0.0001960,0.0001960
1427963057489,0.0001430,0.0001430,0.0001430
1427963057889,0.0001430,0.0001430,0.0001430
1427963058291,0.0001430,0.0001430,0.0001430
1427963058695,0.0001430,0.0001430,0.0001430
1427963059091,0.0000938,0.0000938,0.0000938
1427963059490,0.0000938,0.0000938,0.0000938
1427963059889,0.0000760,0.0000760,0.0000760
1427963060290,0.0000760,0.0000760,0.0000760
1427963060690,0.0000615,0.0000615,0.0000615
1427963061089,0.0000615,0.0000615,0.0000615
1427963061490,0.0000615,0.0000615,0.0000615
1427963061888,0.0000449,0.0000449,0.0000449
1427963062292,0.0000449,0.0000449,0.0000449
1427963062690,0.0000363,0.0000363,0.0000363
